,dataset_name,category,label,cnt,mx,ag
192,brightening_100,texture,chequered,5,0.11474551797482326,0.06835328285975259
193,brightening_100,texture,cobwebbed,2,0.07482273811758021,0.06612682831712119
194,brightening_100,texture,cracked,1,0.059025278183426226,0.059025278183426226
195,brightening_100,texture,crosshatched,1,0.05824255655726665,0.05824255655726665
196,brightening_100,texture,crystalline,1,0.03981770513466695,0.03981770513466695
197,brightening_100,texture,fibrous,2,0.09719704274558348,0.07273508258830343
198,brightening_100,texture,flecked,2,0.04198669592648471,0.03958298360392713
199,brightening_100,texture,freckled,4,0.10130825504860108,0.06796196586289863
200,brightening_100,texture,grid,2,0.11394523313593805,0.07137090722846828
201,brightening_100,texture,grooved,2,0.08276744858821736,0.08239172988962143
202,brightening_100,texture,interlaced,4,0.12248666598856492,0.08801163404887455
203,brightening_100,texture,lacelike,1,0.0709895343301709,0.0709895343301709
204,brightening_100,texture,lined,1,0.07733926563248009,0.07733926563248009
205,brightening_100,texture,paisley,1,0.10130190763145004,0.10130190763145004
206,brightening_100,texture,polka-dotted,1,0.06509624857175078,0.06509624857175078
207,brightening_100,texture,porous,1,0.06091191317447513,0.06091191317447513
208,brightening_100,texture,potholed,2,0.06648826591003794,0.06195005062869449
209,brightening_100,texture,smeared,1,0.030844841206459663,0.030844841206459663
210,brightening_100,texture,spiralled,1,0.0737465275498219,0.0737465275498219
211,brightening_100,texture,stained,1,0.040345176456585134,0.040345176456585134
212,brightening_100,texture,stratified,3,0.1297404692183617,0.10949033701926185
213,brightening_100,texture,striped,1,0.10172874271858763,0.10172874271858763
214,brightening_100,texture,waffled,1,0.045633804493733235,0.045633804493733235
215,brightening_100,texture,woven,1,0.04104449855967437,0.04104449855967437
216,brightening_50,color,blue-c,1,0.025852120108518485,0.025852120108518485
217,brightening_50,color,red-c,1,0.04171674546931036,0.04171674546931036
218,brightening_50,object,airplane,13,0.18391595298018285,0.11363287523198676
219,brightening_50,object,bathtub,1,0.07225576375637376,0.07225576375637376
220,brightening_50,object,bed,8,0.14841919876288176,0.06321443781843583
221,brightening_50,object,bird,3,0.06713323857977603,0.055391104359004135
222,brightening_50,object,boat,1,0.13664152249969425,0.13664152249969425
223,brightening_50,object,book,3,0.10653802133866,0.07909417017584733
224,brightening_50,object,bottle,1,0.07706409016829982,0.07706409016829982
225,brightening_50,object,bridge,1,0.06533193421158841,0.06533193421158841
226,brightening_50,object,bus,8,0.24799362103375755,0.14620586555787346
227,brightening_50,object,car,5,0.26701023653792816,0.124441047238755
228,brightening_50,object,cat,5,0.15787428446721827,0.09777695287242122
229,brightening_50,object,chair,1,0.05814157708107333,0.05814157708107333
